1;fr;Lequel de ces surnoms est parfois donné à la ville de Paris ?;Ville Lumière;Ville des Vents;Cité des Anges;Troisième Rome;Débutant;La ville de Paris a attiré en 2017 près de 34 millions de visiteurs, ce qui en fait une des capitales les plus visitées au monde.;https://fr.wikipedia.org/wiki/Paris
2;fr;En 2024, combien de fois Paris aura-t-elle accueilli les Jeux olympiques ?;Trois fois;Deux fois;Une fois;Quatre fois;Débutant;En 2024, Paris sera la deuxième ville avec Londres à avoir accueilli trois fois les Jeux olympiques après ceux de 1900 et ceux de 1924.;https://fr.wikipedia.org/wiki/Paris
3;fr;De part et d'autre de quel fleuve s'étend la ville de Paris ?;Seine;Rhône;Meuse;Garonne;Débutant;La ville de Paris s'étend sur une superficie environ deux fois supérieure au nord (rive droite) à celle au sud (rive gauche).;https://fr.wikipedia.org/wiki/Seine
4;fr;Quelle étendue boisée est située dans le 16e arrondissement de Paris ?;Bois de Boulogne;Bois de Vincennes;Buttes-Chaumont;Parc Monceau;Débutant;Couvrant une superficie de 846 ha dans l'ouest de la ville, le bois de Boulogne est l'un des poumons de la capitale française.;https://fr.wikipedia.org/wiki/Bois_de_Boulogne
5;fr;Dans quel quartier est situé le point culminant de la capitale française ?;Montmartre;Opéra;Popincourt;Vaugirard;Débutant;Les deux accès au sommet de la colline les plus connus sont le funiculaire et l'escalier de la rue Foyatier, avec ses 222 marches.;https://fr.wikipedia.org/wiki/Montmartre
6;fr;Quel transport en commun assure jusqu'à 20 % des déplacements parisiens ?;Métro;RER;Bus;Taxi;Débutant;Exploité par la RATP, il comporte seize lignes en site propre, essentiellement souterraines, totalisant près de 220 kilomètres.;https://fr.wikipedia.org/wiki/Métro_de_Paris
7;fr;Quel aéroport francilien est situé à 10 km au sud de Paris ?;Orly;Beauvais;Charles-de-Gaulle;Mérignac;Débutant;L'aéroport compte 270 entreprises représentant 25 000 salariés, des bureaux et 15 000 places de parking réparties en 14 parcs.;https://fr.wikipedia.org/wiki/Aéroport_de_Paris-Orly
8;fr;Quelle colonne est un élément du mobilier urbain initialement parisien ?;Colonne Morris;Colonne Davioud;Colonne Guimard;Colonne Wallace;Débutant;De forme cylindrique, la colonne Morris sert principalement de support à la promotion des spectacles et des films.;https://fr.wikipedia.org/wiki/Colonne_Morris
9;fr;Qui est devenue en 2014 la première femme maire de Paris ?;Anne Hidalgo;Christine Herzog;Hélène Hardy;Gisèle Halimi;Débutant;Membre du PS, Anne Hidalgo possède la double nationalité franco-espagnole mais n'a pas d'activité politique en Espagne.;https://fr.wikipedia.org/wiki/Anne_Hidalgo
10;fr;Quel stade de football a pour résident actuel le Paris Saint-Germain ?;Parc des princes;Stade de France;Vélodrome;Groupama Stadium;Débutant;C'est le cinquième plus grand stade français mais aussi l'un des plus anciens et des plus connus de la région parisienne.;https://fr.wikipedia.org/wiki/Parc_des_Princes
11;fr;Quelle est la plus large des avenues de la voirie parisienne ?;Avenue Foch;Avenue de Neuilly;Avenue Mozart;Avenue Matignon;Confirmé;L'avenue Foch est longue de 1 300 mètres et large de 120 mètres grâce aux jardins qui la bordent.;https://fr.wikipedia.org/wiki/Avenue_Foch_(Paris)
12;fr;Quelle chapelle est devenue le symbole de l'Université de Paris ?;Sorbonne;Père-Lachaise;Sainte-Rita;Épiphanie;Confirmé;La chapelle actuelle a été reconstruite au XVIIe siècle par le cardinal de Richelieu, dont elle fut également le mausolée.;https://fr.wikipedia.org/wiki/Chapelle_de_la_Sorbonne
13;fr;Quel est le plus grand cimetière parisien de Paris intra muros ?;Père-Lachaise;Montparnasse;Montmartre;Belleville;Confirmé;Il accueille chaque année plus de trois millions et demi de visiteurs, ce qui en fait le cimetière le plus visité au monde.;https://fr.wikipedia.org/wiki/Cimetière_du_Père-Lachaise
14;fr;En 2019, quel musée comptait 2 091 employés dont 1 232 agents de surveillance ?;Musée du Louvre;Musée d'Orsay;Musée Rodin;Musée Carnavalet;Confirmé;Avec 8 millions de visiteurs annuels, le Louvre est le musée le plus visité au monde et le site culturel payant le plus visité de France.;https://fr.wikipedia.org/wiki/Musée_du_Louvre
15;fr;Combien de visiteurs environ se sont rendus à Paris en 2017 ?;34 millions;26 millions;19 millions;44 millions;Confirmé;Paris occupe également une place prépondérante mondiale dans le milieu de la mode, du luxe et de la haute gastronomie.;https://fr.wikipedia.org/wiki/Paris
16;fr;Quelle est la longueur approximative totale des égouts de Paris ?;2 600 km;2 200 km;3 000 km;1 800 km;Confirmé;Les égouts de Paris ont fortement évolué depuis les travaux entrepris par le préfet Haussmann et l'ingénieur Eugène Belgrand.;https://fr.wikipedia.org/wiki/Égouts_de_Paris
17;fr;Avec quelle unique autre ville d'Europe Paris est-elle jumelée ?;Rome;Madrid;Berlin;Athènes;Confirmé;Ce jumelage est valable dans l'autre sens, avec ce slogan : « Seul Paris est digne de Rome, seule Rome est digne de Paris ».;https://fr.wikipedia.org/wiki/Paris
18;fr;Devant quel bâtiment se situe le point zéro des routes de France ?;Notre-Dame;Lycée Henri-IV;Tour Saint-Jacques;Sainte-Chapelle;Confirmé;Le point zéro des routes de France est le point zéro de Paris, c'est-à-dire le point kilométrique 0 des routes quittant la capitale.;https://fr.wikipedia.org/wiki/Point_zéro_des_routes_de_France
19;fr;À Paris, quel jardin à l'anglaise imite un paysage de montagne ?;Buttes-Chaumont;Invalides;Trocadéro;Palais-Royal;Confirmé;Il s'agit d'un des espaces verts parisiens présentant le plus grand dénivelé (plus de 40 m), héritage des carrières de ses fondations.;https://fr.wikipedia.org/wiki/Parc_des_Buttes-Chaumont
20;fr;Quelle est la plus longue rue de Paris intra-muros, avec quatre kilomètres de longueur ?;Rue de Vaugirard;Rue Lecourbe;Rue La Fayette;Rue de Paradis;Confirmé;Avec ses 4 360 mètres de longueur, la rue de Vaugirard qui traverse les 6e et 15e arr., correspond à 407 numéros d'immeubles.;https://fr.wikipedia.org/wiki/Rue_de_Vaugirard
21;fr;En combien d'arrondissements municipaux la ville de Paris est-elle divisée ?;Vingt;Douze;Seize;Huit;Expert;Les arrondissements, dans leur état actuel, ont été délimités par la loi du 16 juin 1859, qui a porté leur nombre de douze à vingt.;https://fr.wikipedia.org/wiki/Arrondissements_de_Paris
22;fr;Quelle business school parisienne est l'une des plus reconnues au monde ?;HEC;ICAM;UTC;PSB;Expert;L'École se situe dans la partie nord du futur cluster technologique Paris-Saclay, qui doit rassembler 25 % de la recherche publique.;https://fr.wikipedia.org/wiki/École_des_hautes_études_commerciales_de_Paris
23;fr;Quelle manifestation commerciale a lieu chaque année fin avril à Paris ?;Foire de Paris;Paris Plages;Foire du Trône;Mille-Colonnes;Expert;La Foire de Paris, organisée à Paris depuis 1904, se déroule depuis 1923 au parc des expositions de la porte de Versailles.;https://fr.wikipedia.org/wiki/Foire_de_Paris
24;fr;Quel est le plus ancien hôpital de la capitale française ?;Hôtel-Dieu;Hôpital de la Pitié;Alphonse Gardie;Raymond Sans;Expert;Depuis 50 ans, il se consacre presque exclusivement au dépistage, au traitement et à la prévention des complications du diabète sucré.;https://fr.wikipedia.org/wiki/Hôtel-Dieu_de_Paris
25;fr;Quelle rivière, aujourd'hui entièrement souterraine, traverse Paris ?;Bièvre;Sarce;Essonne;Lézarde;Expert;La Bièvre est une rivière qui prend source à Guyancourt et qui se jette dans le collecteur principal des égouts de Paris.;https://fr.wikipedia.org/wiki/Bièvre_(affluent_de_la_Seine)
