1;fr;Avant de streamer sur Twitch, quel domaine vulgarisait Angle Droit sur Youtube ?;Juridique;Chimie;Politique;Mathématiques;Débutant;Née le 19 décembre 1993 à Clermont-Ferrand, Florence est titulaire d'un BAC +5 avec un Master en Droit du Travail.;https://fr.wikipedia.org/wiki/Twitch
2;fr;Quelle est la principale passion de LittleBigWhale sur Twitch ?;Chant;Bijouterie;Moto;Maquettes;Débutant;La jeune streameuse, prénommée Marianne, possède plusieurs surnoms tels que LittleBigWhale ou encore Trivia.;https://fr.wikipedia.org/wiki/Twitch
3;fr;À quel festival de jeux vidéo DamDam a-t-elle contribuée à la création en 2005 ?;Stunfest;Paris Games Week;Festival JV;Bordeaux Geek Fest;Débutant;Engagée dans le milieu événementiel et associatif, originaire de Rennes, DamDam fera partie de la création du Stunfest en 2005.;https://fr.wikipedia.org/wiki/Twitch
4;fr;Qui a co-animé une émission avec Pierre Lapin sur la chaîne Twitch d'Arte ?;Horty;LittleBigWhale;PV Nova;MisterMV;Débutant;Hortense est une streameuse gaming sur Twitch proposant du multigaming et un univers 3D rempli de très nombreux effets visuels.;https://fr.wikipedia.org/wiki/Twitch
5;fr;Sur Twitch, quelle est la principale passion de LadySundae ?;Cosplay;Astrologie;Terrariums;Bonsaïs;Débutant;Grâce à Maxildan, qui la contacte via Twitter, elle fera sa première émission sur la Web TV Lestream lors d'un récap le 5 juillet 2020.;https://fr.wikipedia.org/wiki/Twitch
6;fr;Qui a créé le marathon caritatif connu sous le titre de Zevent ?;Zerator;Zankioh;Zouloux;Zwave;Débutant;En 2021, Le Zevent d'Adrien Nougaret est parvenu à lever plus de dix millions d'Euros pour l'association « Action contre la Faim ».;https://fr.wikipedia.org/wiki/Twitch
7;fr;Quel est le nom de l'émission hebdomadaire de divertissement diffusée par Domingo ?;« Popcorn »;« Couch et Soda »;« Le Prime Time »;« Showtime »;Débutant;Fin 2017, Pierre-Alexis Bizot avait sa propre libre antenne sur NRJ, accompagné des streamers Zankioh, Doigby et Aayley.;https://fr.wikipedia.org/wiki/Twitch
8;fr;Quel est le surnom de Corentin Houssein, connu sous le pseudo de Gotaga ?;The French Monster;Virtual Assassin;Phenom;Da Pixel Prodigy;Débutant;Gotaga a connu une forte popularité avec son niveau monstrueux en devenant le joueur français le plus titré sur « Call of Duty » (console).;https://fr.wikipedia.org/wiki/Twitch
9;fr;Quel est le nom de la WebTV créée par Squeezie et Cyprien en 2017 ?;« LeStream »;« LaGamingZone »;« GamerCentralTV »;« StreamGaming »;Débutant;Au fil du temps, Squeezie s'est diversifié avec du divertissement et des clips, devenant le premier youtubeur français devant Cyprien.;https://fr.wikipedia.org/wiki/Twitch
10;fr;Quel est le surnom de Xavier Dang aka MisterMV, le doyen du stream ?;Vieux monsieur;Barbe blanche;Croulant;Papy;Débutant;Pour certains, ce n'est qu'un étrange quadragénaire dans le paysage du Twitch français. Pour d'autres, c'est simplement le meilleur.;https://fr.wikipedia.org/wiki/Twitch
11;fr;Quel est le nom de l'émission consacrée à l'Esport créée par Laure Valée ?;PXL Perfect;PXL Prodigies;PXL Overload;PXL Masters;Confirmé;Laure Valée fera des études littéraire, puis continuera dans l'histoire de l'art, avec pour objectif de devenir commissaire-priseur.;https://fr.wikipedia.org/wiki/Twitch
