1;fr;Dans quel pays se situe le circuit de course automobile du Mans ?;France;Suisse;Pays-Bas;Belgique;Débutant;Le circuit du Mans est aussi utilisé par les voitures de course anciennes lors du Mans Classic qui a lieu une fois tous les deux ans.;https://fr.wikipedia.org/wiki/Circuit_des_24_Heures
2;fr;À quel modèle de voiture ressemble le vieux tacot jaune que conduit Gaston Lagaffe ?;Fiat 509;Citroën B10;Rolls-Royce;Jeep;Débutant;Franquin s'est inspiré de la Fiat 509, une voiture de 1925 donc déjà antédiluvienne dans les années 1960.;https://fr.wikipedia.org/wiki/Gaston_Lagaffe
3;fr;Quel sport automobile consiste à accélérer le plus rapidement possible avec son véhicule ?;Dragster;Drift;Trial;Monster truck;Débutant;La catégorie reine est le « Top Fuel », les plus rapides passant la ligne des 402 mètres en moins de 4.5 secondes.;https://fr.wikipedia.org/wiki/Dragster
4;fr;Comment s'appelle le véhicule du personnage de bande dessinée Batman ?;Batmobile;Batauto;Batdrive;Batcar;Débutant;Au fil des années, les artistes ayant travaillé sur la série ont souvent modifié l'aspect et les caractéristiques de la Batmobile.;https://fr.wikipedia.org/wiki/Batmobile
5;fr;De quand date le Duster, véhicule utilitaire sport vendu par la marque roumaine Dacia ?;2010;2012;2008;2006;Débutant;Disponible en version 4×2 et 4×4, le Renault Duster est le véhicule de la marque le plus produit en 2014.;https://fr.wikipedia.org/wiki/Dacia_Duster
6;fr;En France, refuser une priorité peut vous coûter combien de points sur le permis ?;Quatre points;Deux points;Six points;Huit points;Débutant;En France, le permis de conduire est apparu dans le code de la route de 1922, en remplacement du certificat de capacité.;https://fr.wikipedia.org/wiki/Permis_de_conduire_en_France
7;fr;Quelle principauté accueille l'un des plus prestigieux Grand Prix de Formule 1 ?;Monaco;Liechtenstein;Andorre;Mantoue;Débutant;La course inaugurale du Grand Prix de Monaco fut remportée le 14 avril 1929 par William Grover-Williams au volant d'une Bugatti.;https://fr.wikipedia.org/wiki/Grand_Prix_automobile_de_Monaco
8;fr;Quel principal organisme régit les courses automobiles de stock-car aux États-Unis ?;NASCAR;GOCAR;LASCAR;GASPAR;Débutant;Les origines de la Nascar sont liées à la contrebande d'alcool aux États-Unis du temps de la prohibition dans les années 1930.;https://fr.wikipedia.org/wiki/National_Association_for_Stock_Car_Auto_Racing
9;fr;Dans le monde automobile, quel sigle correspond au Grand Tourisme Injection ?;GTi;Turbo;TT;Sport;Débutant;Le terme grand tourisme est le nom donné à une catégorie de voitures de petite production à tendance luxueuse et sportive.;https://fr.wikipedia.org/wiki/Grand_tourisme
10;fr;Quelle société appartenant au groupe Belron « répare et remplace » votre pare-brise ?;Carglass;Norauto;Midas;Speedy;Débutant;Le siège français se situe à Courbevoie dans les Hauts-de-Seine au nord du quartier d'affaires de La Défense.;https://fr.wikipedia.org/wiki/Carglass
11;fr;Dans le jargon automobile courant, « avoir une chaussette trouée » signifie avoir...;Un pneu crevé;Une vitre cassée;Une vidange à faire;Un moteur qui fuit;Confirmé;Une crevaison a pour conséquence directe le dégonflement du pneu et le contact indirect de la jante avec le sol.;https://fr.wikipedia.org/wiki/Crevaison
12;fr;De quand date le premier radar fixe en France, parmi les milliers aujourd'hui installés ?;27 octobre 2003;27 octobre 2013;27 octobre 1983;27 octobre 1993;Confirmé;En France, depuis 2003, une directive gouvernementale dans le cadre de la sécurité routière a généralisé les radars automatiques.;https://fr.wikipedia.org/wiki/Radar_automatique
13;fr;Quelle firme automobile, filiale française de FIAT, a ensuite intégré le groupe Chrysler ?;Simca;Packard;Hommell;Triumph;Confirmé;Ce procédé a permis à Fiat de vendre ses modèles sur le territoire français sans payer de taxes d'importations et de droits de douane.;https://fr.wikipedia.org/wiki/Simca
14;fr;En quelle année a été commercialisé pour la première fois le coupé Audi TT ?;1998;1988;2008;1978;Confirmé;Le nom de TT provient du modèle NSU Prinz TT (La marque NSU a été absorbée par Audi en 1977).;https://fr.wikipedia.org/wiki/Audi_TT
15;fr;Dans quel pays se situe le circuit de Silverstone, sur une ancienne base aérienne ?;Royaume-Uni;États-Unis;Australie;Portugal;Confirmé;Une moitié du circuit de Silverstone se trouve dans le Northamptonshire, l'autre moitié dans le Buckinghamshire.;https://fr.wikipedia.org/wiki/Circuit_de_Silverstone
16;fr;Quelle partie de votre voiture est parfois appelée le dentier ?;Boîte de vitesse;Calandre;Radiateur;Coffre;Confirmé;La boîte de vitesse permet d'adapter la transmission d'un mouvement entre un arbre moteur et un arbre récepteur.;https://fr.wikipedia.org/wiki/Boîte_de_vitesses
17;fr;Quel constructeur automobile est le recordman des titres aux 24 Heures du Mans ?;Porsche;Audi;Peugeot;BMW;Confirmé;La société Porsche fut fondée en 1931 par Ferdinand Porsche, puis reprise par son fils Ferry Porsche.;https://fr.wikipedia.org/wiki/Porsche
18;fr;Parmi ces quatre verbes, lequel est associé à l'expression « mettre le pied dans le phare » ?;Accélérer;Freiner;Braquer;Klaxonner;Confirmé;Dans le langage courant, l'accélération s'oppose à la décélération et indique l'augmentation de la vitesse.;https://fr.wikipedia.org/wiki/Accélération
19;fr;Que signifie le sigle Z.E. chez le constructeur automobile français Renault ?;Zéro Émission;Zéro Engagement;Zéro Echo;Zéro Espoir;Confirmé;La lutte contre le dérèglement climatique passe par un changement de comportement à l'égard de l'automobile.;https://fr.wikipedia.org/wiki/Renault
20;fr;Quelle marque automobile a pour slogan publicitaire « Le plaisir de conduire » ?;BMW;Mercedes-Benz;Kia;Renault;Confirmé;En 2014, le groupe BMW a vendu 2 117 965 véhicules automobiles (BMW, MINI, et Rolls-Royce) et 123 495 deux-roues (BMW).;https://fr.wikipedia.org/wiki/Bayerische_Motoren_Werke
21;fr;Quelle voiture jaune Tintin conduit-il dans « Tintin au Congo », deuxième album de la série ?;Ford T;Corvette;Jeep;Citroën Traction;Expert;Des éditions pirates de « Tintin au Congo » ont été diffusées en réaction à son indisponibilité en librairie.;https://fr.wikipedia.org/wiki/Tintin_au_Congo
22;fr;Quelle marque automobile, aujourd'hui disparue, reste connue pour ses roadsters ?;Triumph;DeLorean;Innocenti;Hotchkiss;Expert;La maison Triumph a été fondée à Coventry en tant que fabricant de cycles par Moritz Schulte et Siegfried Bettmann en 1890.;https://fr.wikipedia.org/wiki/Triumph_Motor_Company
