1;fr;L'Andalousie est une région située dans le Sud de quel pays ?;Espagne;Grèce;Italie;Portugal;Débutant;Elle est située dans le Sud de la péninsule Ibérique, faisant face au Maroc (région du Rif), et au nord-ouest de l'Algérie (Oranie).;https://fr.wikipedia.org/wiki/Andalousie
2;fr;En combien de capitales provinciales l'Andalousie est-elle divisée ?;Huit;Six;Quatre;Dix;Débutant;Les huit provinces sont les uivantes : Almeria, Cadix, Crdoue, Grenade, Huelva, Jaen, Malaga et Séville.;https://fr.wikipedia.org/wiki/Andalousie
3;fr;Quelle ville du Sud de l'Espagne est la capitale de l'Andalousie ?;Séville;Grenade;Malaga;Cordoue;Débutant;Située au centre d'une riche région agricole, la cité est le coeur économique, politique et culturel de l'Andalousie.;https://fr.wikipedia.org/wiki/Séville
4;fr;Qui fut élu à six reprises président du gouvernement andalou ?;Manuel Chaves;Joaquin Almunia;Jesus Caldera;Eduardo Zaplana;Débutant;Parfois surnommé Manolo, né le 7 juillet 1945 à Ceuta, Manuel Chaves a appartenu au Parti socialiste ouvrier espagnol (PSOE).;https://fr.wikipedia.org/wiki/Manuel_Chaves
5;fr;Pour quelle forme de musique et de danse l'Andalousie est-elle connue ?;Flamenco;Jerk;Valse;Rumba;Débutant;Une influence arabe, plus présente que dans le reste de la musique espagnole, semble être commune à la musique andalouse.;https://fr.wikipedia.org/wiki/Musique_andalouse
6;fr;Quel ensemble palatial constitue l'un des monuments majeurs de Grenade ?;Alhambra;Escurial;Altamira;Bustillo;Débutant;C'est avec la Grande mosquée de Cordoue le plus prestigieux témoin de la présence musulmane en Espagne.;https://fr.wikipedia.org/wiki/Alhambra_(Grenade)
7;fr;Quel sévillan est l'un des principaux représentants de la peinture espagnole ?;Diego Vélasquez;Diego Polo;Alonso Cano;Francisco Barrera;Débutant;Pendant les dix dernières années de sa vie, son style se fit plus schématique, arrivant à une domination notable de la lumière.;https://fr.wikipedia.org/wiki/Diego_Vélasquez
8;fr;Pour quelle activité l'Andalousie est-elle un haut lieu au travers de ses arènes ?;Tauromachie;Fauconnerie;Arrochage de coq;Lancer de renard;Débutant;Les arènes de la Real Maestranza de Séville et les Arènes des Califes de Cordoue sont deux places de première catégorie.;https://fr.wikipedia.org/wiki/Tauromachie
9;fr;Quelle fête taurine est caractérisée, en Espagne, par une suite de corridas ?;Feria;Atanda;Borroka;Maloya;Débutant;Selon les régions ou les pays, des lâchers de taureaux ont lieu dans les rues comme à Pampelune.;https://fr.wikipedia.org/wiki/Feria
10;fr;Quel potage à base de légumes crus mixés servi froid est très répandu en Andalousie ?;Gaspacho;Clamato;Salmorejo;Bruschetta;Débutant;Comme il est composé de légumes crus, le gaspacho contient plus de vitamines qu'un potage de légumes cuits.;https://fr.wikipedia.org/wiki/Gaspacho
11;fr;Quel grand fleuve coule entre la sierra Morena et le système Bétique ?;Guadalquivir;Valdavia;Douro;Zadorra;Confirmé;Avec ses 657 km de long, il est le cinquième fleuve de la péninsule Ibérique, drainant un bassin de près de 58 000 km².;https://fr.wikipedia.org/wiki/Guadalquivir
