1;fr;Quelle saison de la « Star Academy » France Nolwenn Leroy a-t-elle remporté en 2002 ?;Deuxième;Première;Troisième;Quatrième;Débutant;La directrice de cette promotion était Alexia Laroche-Joubert et les élèves de la Star Academy 1 en étaient les parrains.;https://fr.wikipedia.org/wiki/Saison_2_de_Star_Academy
2;fr;De quelle troupe Nolwenn Leroy est-elle membre depuis 2006 ?;Les Enfoirés;Band Aid;Agir Réagir;Ensemble;Débutant;Les Enfoirés est un regroupement d'artistes créé en 1985 pour chanter au profit de l'association des Restos du Coeur de Coluche.;https://fr.wikipedia.org/wiki/Les_Enfoirés
3;fr;De quelle région de France Nolwenn Leroy est-elle originaire ?;Bretagne;Provence;Alsace;Pas-de-Calais;Débutant;Elle vit ses premières années entre la Bretagne, Kersaint-Plabennec et Guingamp, l'Île-de-France et le Nord-Pas-de-Calais.;https://fr.wikipedia.org/wiki/Nolwenn_Leroy
4;fr;Par quel professeur de chant de la « Star Academy » Nolwenn Leroy fut-elle fascinée ?;Armande Altaï;Isabelle Charles;Anne Ducros;Raphaëlle Ricci;Débutant;Armande Kumpal Kabartay Altaï-Magini est née à Alep en Syrie le 20 mai 1944, au sein d'une famille de cinq enfants.;https://fr.wikipedia.org/wiki/Armande_Altaï
5;fr;Quel est le titre du premier album studio de Nolwenn Leroy, sorti en 2003 ?;« Nolwenn »;« Bretonne »;« Histoires naturelles »;« Gemme »;Débutant;Dans cet album participent, entre autres, Pascal Obispo, Lara Fabian, Laurent Voulzy, Lionel Florence et Daniel Lavoie.;https://fr.wikipedia.org/wiki/Nolwenn_(album)
6;fr;Qui a co-réalisé l'album « Histoires naturelles » sorti dans les bacs fin 2005 ?;Laurent Voulzy;Serge Gainsbourg;Pascal Obispo;Marc Lavoine;Débutant;Le premier extrait, « Nolwenn Ohwo ! », sera co-signé par Alain Souchon, Laurent Voulzy et Nolwenn elle-même.;https://fr.wikipedia.org/wiki/Histoires_naturelles_(album)
7;fr;Quel album est chanté en breton, français, anglais et gaélique irlandais ?;« Bretonne »;« Nolwenn »;« Gemme »;« Folk »;Débutant;L'album connaît un immense succès en France (deuxième meilleure vente de l'année 2011, no 1 du Top Albums pendant sept semaines).;https://fr.wikipedia.org/wiki/Bretonne_(album)
8;fr;Avec qui Nolwenn Leroy est-elle en couple depuis janvier 2008 ?;Arnaud Clément;Sébastien Lareau;Pierre Gillou;Max Decugis;Débutant;Arnaud Clément, né le 17 décembre 1977 à Aix-en-Provence, est un joueur français de tennis, professionnel entre 1996 et 2012.;https://fr.wikipedia.org/wiki/Arnaud_Clément
9;fr;Quel premier single de Nolwenn Leroy s'est vendu à 400 000 exemplaires ?;« Cassé »;« Inévitablement »;« Reste encore »;« Brest »;Débutant;Tube de 2003 écrit par Lionel Florence et composé par Francis Maggiulli, elle l'interprétera dans de nombreuses émissions télés.;https://fr.wikipedia.org/wiki/Cassé_(chanson)
10;fr;Combien d'albums environ Nolwenn Leroy avait-elle déjà vendu fin 2018 ?;3 millions;2 millions;4 millions;5 millions;Débutant;Outre la Belgique et la Suisse, elle s'est également exportée et classée en Allemagne, aux États-Unis et en Corée du Sud.;https://fr.wikipedia.org/wiki/Nolwenn_Leroy
11;fr;De quelle fondation Nolwenn Leroy est-elle la marraine ?;Abbé-Pierre;Anne-de-Gaulle;SOS familles;Gabriel-Péri;Confirmé;Reconnue d'utilité publique, la fondation a pour mission de permettre à toute personne démunie d'accéder à un logement décent.;https://fr.wikipedia.org/wiki/Fondation_Abbé-Pierre_pour_le_logement_des_défavorisés
