1;fr;Quelle mer fermée alimentée par la Volga est le plus grand lac du monde ?;Mer Caspienne;Mer Égée;Mer Noire;Mer Adriatique;Débutant;Avec une superficie de 371 000 km2, plus vaste que l'Allemagne, elle est la plus grande des masses d'eau enclavées du monde.;https://fr.wikipedia.org/wiki/Mer_Caspienne
2;fr;Quel lac est séparé du lac Michigan par le détroit de Mackinac ?;Huron;Victoria;Winnipeg;Érié;Débutant;Comme les autres Grands Lacs, le lac Huron a été formé par la fonte de glace pendant le recul des glaciers continentaux.;https://fr.wikipedia.org/wiki/Lac_Huron
3;fr;Quel est le plus grand des Grands Lacs d'Amérique du Nord ?;Supérieur;Huron;Michigan;Ontario;Débutant;À cheval entre les États-Unis et le Canada, sa superficie de 82 350 km2 en fait le plus vaste lac d'eau douce au monde.;https://fr.wikipedia.org/wiki/Lac_Supérieur
4;fr;Quel lac, découvert par un britannique, est le plus grand d'Afrique ?;Victoria;Kyoga;Édouard;Kivu;Débutant;Le lac doit son nom à l'explorateur britannique Speke qui l'atteignit en 1858 et qui le baptisa en l'honneur de la reine Victoria.;https://fr.wikipedia.org/wiki/Lac_Victoria
5;fr;Quel lac d'Afrique est le plus long lac d'eau douce du monde ?;Tanganyika;Kivu;Malawi;Victoria;Débutant;La situation du lac en fait un lieu d'activité tectonique remarquable, de par la profondeur totale de la faille à cet endroit.;https://fr.wikipedia.org/wiki/Lac_Tanganyika
6;fr;Quel lac sacré est parfois surnommé la « Perle de Sibérie » ?;Baïkal;Lama;Khanka;Keta;Débutant;Vivant surtout de la pêche, cinquante mille personnes gravitent près du lac dans des conditions difficiles où les sols sont pauvres.;https://fr.wikipedia.org/wiki/Lac_Baïkal
7;fr;Les rives de quel lac se partagent entre le Malawi, le Mozambique et la Tanzanie ?;Malawi;Kariba;Malombe;Kivu;Débutant;Troisième lac africain par sa taille, le lac Malawi occupe le cinquième rang au classement des grands lacs mondiaux en volume.;https://fr.wikipedia.org/wiki/Lac_Malawi
8;fr;Quel lac de la cordillère des Andes est traversé par la Bolivie et le Pérou ?;Titicaca;Poopo;Uru Uru;Colorada;Débutant;Haut de 3 812 mètres, c'est par le lac Titicaca qu'est née la culture aymara avant la colonisation et la christianisation.;https://fr.wikipedia.org/wiki/Lac_Titicaca
9;fr;Quel lac d'Afrique est le plus grand lac artificiel au monde ?;Volta;Ladoga;Winnipeg;Victoria;Débutant;Un barrage construit en 1965 produit de l'énergie hydro-électrique (912 MW) et est également important pour le transport local.;https://fr.wikipedia.org/wiki/Lac_Volta
10;fr;Quel est le plus grand lac salé d'Australie et d'Océanie ?;Eyre;Callabonna;Torrens;Alexandrina;Débutant;Le lac Eyre est également le point le plus bas de l'Australie à approximativement 13 mètres en dessous du niveau de la mer.;https://fr.wikipedia.org/wiki/Lac_Eyre
11;fr;Quel lac est directement cité comme responsable de l'érosion du delta du Nil ?;Nasser;Albert;Sudd;Tana;Confirmé;Le lac Nasser constitue un réservoir de 162 milliards de mètres cubes (soit 162 km3) d'eau en plein désert de Haute-Égypte.;https://fr.wikipedia.org/wiki/Lac_Nasser
