1;fr;Quel surnom était donné à Victoria Beckham au sein du groupe des Spice Girls ?;Posh;Push;Pesh;Pish;Débutant;La carrière solo de Victoria Posh Beckham (assez vite arrêtée) est celle qui est la plus désastreuse des Spice Girls.;https://fr.wikipedia.org/wiki/Victoria_Beckham
2;fr;De quel boys band faisait partie Justin Timberlake avant sa carrière solo ?;NSYNC;NLT;Natural;North Life;Débutant;Les membres du groupe NSYNC étaient Lance Bass, JC Chasez, Joey Fatone, Chris Kirkpatrick et Justin Timberlake.;https://fr.wikipedia.org/wiki/NSYNC
3;fr;Quel est le surnom donné au chanteur français Christophe Willem ?;La tortue;Le siamois;Le gorille;La panthère;Débutant;Christophe Durier a été révélé par la saison 4 de l'émission « La Nouvelle Star » en 2006, dont il est par ailleurs ressorti vainqueur.;https://fr.wikipedia.org/wiki/Christophe_Willem
4;fr;Dans les X-Men, quelle substance constitue le squelette principal de Wolverine ?;Adamantium;Vibranium;Cavorite;Neutronium;Débutant;L'adamantium, alliage de métal imaginaire le plus résistant de tous les métaux imaginaires connus, ne s'oxyde pas et ne rouille pas.;https://fr.wikipedia.org/wiki/Adamantium
5;fr;Dans quel pays pourriez-vous cueillir des tulipes en sabots près d'un moulin à vent ?;Pays-Bas;Suisse;Allemagne;Luxembourg;Débutant;Les Pays-Bas sont l'un des pays dont l'altitude moyenne est la plus faible au monde (en partie sous le niveau de la mer).;https://fr.wikipedia.org/wiki/Pays-Bas
6;fr;En quelle année est sortie la première version du film « E.T. », réalisée par Steven Spielberg ?;1982;1984;1986;1980;Débutant;Pendant onze années d'affilée, le blockbuster américain « E.T. l'extra-terrestre » restera en tête du box-office mondial.;https://fr.wikipedia.org/wiki/E.T.
7;fr;Quelle est la couleur du triangle sur une manette de jeu de la console PlayStation 2 ?;Verte;Bleue;Rouge;Mauve;Débutant;La PS2 est une console de jeux vidéo de sixième génération commercialisée par la société Sony Computer Entertainment.;https://fr.wikipedia.org/wiki/PlayStation_2
8;fr;Qui est devenu le premier artiste produit par des internautes en France ?;Grégoire;Gautier;Gaspard;Gabriel;Débutant;Le premier album de Grégoire, sorti en 2008 et devenu disque de diamant, a été simultanément produit par 347 internautes.;https://fr.wikipedia.org/wiki/Grégoire_(chanteur)
9;fr;Quel acteur interprète Spider-Man dans la série de films réalisés par Sam Raimi ?;Tobey Maguire;Val Kilmer;Ben Foster;Jason Statham;Débutant;Tobey Maguire ne sera en effet plus choisi pour interpréter le personnage de Peter Parker dans « Spiderman 4 ».;https://fr.wikipedia.org/wiki/Tobey_Maguire
10;fr;Fruit du citronnier, le citron est un agrume surtout riche en quelle vitamine ?;Vitamine C;Vitamine A;Vitamine B;Vitamine D;Débutant;Le citron peut parfois causer des brûlures au niveau des muqueuses si son jus est absorbé en trop grande quantité.;https://fr.wikipedia.org/wiki/Citron
11;fr;En quelle année le premier prototype de la 205 est-il sorti des ateliers Peugeot ?;1981;1977;1969;1992;Confirmé;Modèle phare du constructeur, la 205 sauvera Peugeot d'une situation financière délicate après l'achat de Chrysler Europe.;https://fr.wikipedia.org/wiki/Peugeot_205
12;fr;Quelle société de production appartient à Christophe Dechavanne ?;Coyote;Caméléon;Crotale;Cobra;Confirmé;Le Groupe Coyote fut durant un temps l'un des producteurs indépendants les plus importants du paysage audiovisuel français.;https://fr.wikipedia.org/wiki/Coyote_(télévision)
13;fr;Avec quel film Clint Eastwood a-t-il réalisé une biographie de Charlie Parker ?;« Bird »;« Parker »;« Dizzy »;« Charlie »;Confirmé;Le film d'une grande qualité est l'un des très rares consacrés au jazz et émane d'un réalisateur lui-même musicien.;https://fr.wikipedia.org/wiki/Bird_(film)
14;fr;Jon Voight, interprète du film « Macadam Cowboy », a une célèbre fille, mais qui est-elle ?;Angelina Jolie;Kate Moss;Katie Holmes;Jennifer Aniston;Confirmé;D'origine allemande et slovaque, Jon Voight a suivi des cours de décoration scénique à l'université catholique de New York.;https://fr.wikipedia.org/wiki/Jon_Voight
