1;fr;Quelle est la couleur du maillot des sauveteurs de la série « Alerte à Malibu » ?;Rouge;Verte;Bleue;Jaune;Débutant;En 1990, « Alerte à Malibu » est entrée dans le Guinness Book des records comme la série télévisée la plus regardée au monde.;https://fr.wikipedia.org/wiki/Alerte_à_Malibu
2;fr;Dans quelle ville peut-on retrouver sur les écrans le lieutenant Horatio Caine ?;Miami;New York;Las Vegas;Los Angeles;Débutant;Dès qu'il enlève ses lunettes après une réplique forte, les téléspectateurs savent qu'un moment intense va suivre.;https://fr.wikipedia.org/wiki/Horatio_Caine
3;fr;Pour qui travaillent les « Drôles de dames », diffusées en télévision sur ABC ?;Charlie;Calvin;Chester;Clayton;Débutant;Le visage de Charlie Townsend, propriétaire de l'agence, n'est jamais dévoilé car il communique principalement via un haut-parleur.;https://fr.wikipedia.org/wiki/Drôles_de_dames
4;fr;Qui est le plus costaud des héros télévisés de la célèbre « Agence tous risques » ?;Barracuda;Hannibal;Futé;Looping;Débutant;Après six années (1983-1987), la série « Agence tous risques » s'est brutalement arrêtée, devenant de plus en plus chère à produire.;https://fr.wikipedia.org/wiki/Agence_tous_risques
5;fr;Qui détient le rôle principal dans la série télévisée américaine « Dr House » ?;Hugh Laurie;Thomas Sarbacher;Matthew Fox;Kiefer Sutherland;Débutant;Grégory House, héros de la série, est un médecin brillant qui fait souvent référence à des groupes, des films et séries télévisées.;https://fr.wikipedia.org/wiki/Dr_House
6;fr;Quelle héroïne de la série « Ma sorcière bien aimée » est mariée à Jean-Pierre ?;Samantha;Endora;Tabatha;Esmeralda;Débutant;Ce couple modèle à l'américaine a également deux enfants : une fille, Tabatha, et un fils, Adam, né lors de la sixième saison.;https://fr.wikipedia.org/wiki/Ma_sorcière_bien-aimée
7;fr;Dans quelle série télévisée Wentworth Miller incarne-t-il Michael Scofield ?;« Prison Break »;« Dr House »;« Lost »;« Friends »;Débutant;Dans la série, Michael Scofield, héros génial mais torturé, élabore pour son frère un plan d'évasion d'une complexité stupéfiante.;https://fr.wikipedia.org/wiki/Wentworth_Miller
8;fr;Quel médecin Georges Clooney incarnait-il dans la série télévisée « Urgences » ?;Douglas Ross;Mark Green;John Carter;Dylan Creed;Débutant;Le pilote de la série a été filmé dans un vieil hôpital abandonné, suite au manque de temps et d'argent pour construire un plateau.;https://fr.wikipedia.org/wiki/Urgences_(série_télévisée)
9;fr;Quel village la famille Ingalls habite-t-elle dans « La Petite Maison dans la prairie » ?;Walnut Grove;Dakota Springs;Ingalls Valley;Sailor Fields;Débutant;Les lieux les plus importants de la série « La Petite Maison dans la prairie » sont Sleepy Eye, Winoka et surtout Walnut-Grove.;https://fr.wikipedia.org/wiki/La_Petite_Maison_dans_la_prairie
10;fr;Lequel de ces personnages ne fait pas partie de la bande de copains de « Friends » ?;Matt;Chandler;Joey;Ross;Débutant;La série Friends raconte dix années de la vie de six amis vivant ensemble à New York, abordant les hauts et les bas de la vie adulte.;https://fr.wikipedia.org/wiki/Friends
11;fr;Quel est le nom de la célèbre voiture que David Hasselhoff pilotait dans « K2000 » ?;Kitt;Kate;Kytie;Kiki;Confirmé;Cette voiture intelligente, dotée d'une IA, est capable de communiquer avec Michael, réalisant des prouesses technologiques.;https://fr.wikipedia.org/wiki/K_2000_(série_télévisée)
12;fr;Qui joua le rôle de Donna Martin dans la série télévisée « Beverly Hills 90210 » ?;Tori Spelling;Jenny Garth;Hillary Swank;Carol Potter;Confirmé;Le comportement rebelle de Shannen Doherty (Brenda) était si problématique qu'il a finalement mené à son renvoi en 1994.;https://fr.wikipedia.org/wiki/Beverly_Hills_90210
13;fr;Dans quelle série Aaron Hotchner perce-t-il les pensées des tueurs en série ?;« Esprits criminels »;« Person of Interest »;« Mentalist »;« The Walking Dead »;Confirmé;Thomas Gibson a incarné Aaron Hotchner pendant onze saisons (2005 à 2016), sa sortie ayant été entourée de controverse.;https://fr.wikipedia.org/wiki/Aaron_Hotchner
14;fr;Qui est la soeur aînée des héroïnes de la série télévisée « Charmed » ?;Prue;Piper;Buffy;Paige;Confirmé;La série « Charmed » raconte l'histoire de trois soeurs qui deviennent sorcières en héritant des pouvoirs transmis par leurs aïeules.;https://fr.wikipedia.org/wiki/Charmed
15;fr;Dans laquelle de ces séries télévisées trouve-t-on un super-héros ?;« Smallville »;« Le Caméléon »;« Profiler »;« Stargate »;Confirmé;L'Impact et l'Héritage de « Smallville » a ouvert la voie à d'autres séries de super-héros, comme « Arrow », « The Flash », et même « Supergirl ».;https://fr.wikipedia.org/wiki/Smallville_(série_télévisée)
16;fr;Quelle est la couleur des cheveux de Miranda dans la série « Sex and the City » ?;Rousse;Brune;Blonde;Noire;Confirmé;Miranda est avocate au caractère pragmatique et à l'humour caustique, sa carrière tenant la place la plus importante dans sa vie.;https://fr.wikipedia.org/wiki/Miranda_Hobbes
17;fr;Combien de saisons compte la série télé « Lost, les disparus » créée par J.J. Abrams ?;Six;Huit;Quatre;Deux;Confirmé;Bien que d'abord hésitant, J.J. Abrams était enthousiasmé par le concept de la série, à condition que celle-ci ait un angle surnaturel.;https://fr.wikipedia.org/wiki/Lost_:_Les_Disparus
18;fr;Qui est le meilleur ami de Dawson dans la série télévisée du même nom ?;Pacey;Joey;Jack;Dan;Confirmé;Passionné de cinéma, Kevin Williamson, créateur de la trilogie « Scream », s'est inspiré de sa propre adolescence pour écrire « Dawson ».;https://fr.wikipedia.org/wiki/Dawson_(série_télévisée)
19;fr;Dans quelle série télévisée Angela Lansbury interprète-t-elle le rôle de Jessica Fletcher ?;« Arabesque »;« Friends »;« Médicopter »;« Urgences »;Confirmé;Le rôle de Jessica Fletcher a été créé en se référant aux personnages de l'univers d'Agatha Christie, Miss Marple et Hercule Poirot.;https://fr.wikipedia.org/wiki/Arabesque_(série_télévisée)
