1;fr;Combien de temps dure en moyenne la gestation d'une éléphante ?;21 mois;17 mois;13 mois;9 mois;Débutant;Une éléphante peut être en gestation jusqu'à l'âge de cinquante ans, où un seul éléphant est porté dans la plupart des cas.;https://fr.wikipedia.org/wiki/Éléphant
2;fr;À combien de pulsations par minute bat le coeur d'un hérisson en hibernation ?;18;28;38;8;Débutant;Il ne faut pas confondre les hérissons avec d'autres mammifères porteurs de piquants, comme par exemple les porcs-épics.;https://fr.wikipedia.org/wiki/Hérisson
3;fr;Jusqu'à combien de kilomètres le cri du singe hurleur est-il audible ?;3 km;6 km;9 km;12 km;Débutant;Ce singe hurle chaque matin, et quand il combat avec d'autres singes hurleurs, ils se battent également à coups de hurlements.;https://fr.wikipedia.org/wiki/Alouate
4;fr;En quelle année le dernier dodo vivant a-t-il été vu à l'île Maurice ?;1681;1723;1832;1908;Débutant;En plus de son incapacité à voler, le dodo n'avait développé aucune peur à l'encontre des êtres humains, faisant de lui une proie facile.;https://fr.wikipedia.org/wiki/Dodo_(oiseau)
5;fr;Combien de bisons environ Buffalo Bill a-t-il abattus en 18 mois seulement ?;4 000;3 000;2 000;1 000;Débutant;Le chapeau stetson ainsi que le bandana ont été popularisés par Buffalo Bill alors que tous les cow-boys n'en portaient pas forcément.;https://fr.wikipedia.org/wiki/Buffalo_Bill
6;fr;Jusqu'à quelle altitude vivent en général les bouquetins des Alpes ?;3 500 m;2 300 m;1 900 m;4 600 m;Débutant;Le milieu de prédilection du bouquetin des Alpes comprend des murailles abruptes, des falaises à pics ou des parois escarpées.;https://fr.wikipedia.org/wiki/Bouquetin_des_Alpes
7;fr;Combien de minutes une otarie peut-elle nager sous l'eau sans respirer ?;5 min;7 min;9 min;11 min;Débutant;Contrairement aux phoques, les otaries pourvuent de nageoires se servent à terre de leurs postérieurs pour marcher.;https://fr.wikipedia.org/wiki/Otariidae
8;fr;Quelle est, en centimètres, la longueur de la langue d'un fourmilier adulte ?;60 cm;50 cm;70 cm;80 cm;Débutant;Le plus grand représentant du groupe est le fourmilier géant ou grand tamanoir, un animal mesurant plus d'un mètre de longueur.;https://fr.wikipedia.org/wiki/Fourmilier
9;fr;Quel est le pourcentage de rongeurs parmi la population des mammifères ?;40 %;30 %;20 %;10 %;Débutant;Ces animaux se caractérisent par leur unique paire d'incisives qui leur servent à ronger, à creuser des galeries ou à se défendre.;https://fr.wikipedia.org/wiki/Rodentia
10;fr;Combien de fois par minute un fourmilier peut-il sortir la langue de sa gueule ?;160 fois;120 fois;80 fois;40 fois;Débutant;Le fourmilier mange surtout des fourmis, mais il aime aussi les termites et d'autres insectes comme la coccinelle.;https://fr.wikipedia.org/wiki/Fourmilier
11;fr;Jusqu'à combien de kilos de viande une hyène peut-elle manger au cours d'un repas ?;14 kg;4 kg;24 kg;34 kg;Confirmé;Il est impossible de discerner par la simple observation un mâle hyène d'une femelle tant l'un et l'autre se ressemblent.;https://fr.wikipedia.org/wiki/Hyaenidae
