1;fr;Quelle bière belge est fabriquée en ajoutant des cerises acides au lambic ?;Kriek;Kwak;Kronenbourg;Keystone;Débutant;Le nom Kriek provient du mot néerlandais kersen, qui signifie cerise, car cette bière est en effet brassée avec des cerises griottes.;https://fr.wikipedia.org/wiki/Kriek
2;fr;Laquelle de ces propositions ne désigne pas une couleur de bière belge ?;Rouge;Blonde;Ambrée;Noire;Débutant;Avec plus de 1 500 types de bières, la Belgique possède une incroyable richesse brassicole, remontant même à plusieurs siècles.;https://fr.wikipedia.org/wiki/Catégorie:Bière_belge
3;fr;Quelle bière belge, produit phare de la brasserie Dubuisson, titre 12 % ?;Bush;Mort Subite;Stella;Tongerlo;Débutant;Bière ambrée forte (12 % ABV), la Bush 12 est particulièrement appréciée pour sa richesse, sa complexité et son caractère puissant.;https://fr.wikipedia.org/wiki/Bush_(bière)
4;fr;Quel label figure sur une bouteille de Leffe, développée en de nombreuses variétés ?;Bière d'Abbaye;Bière Bio;Trappiste;Swiss Made;Débutant;Du nom d'un quartier de Dinant dans la vallée de la Meuse, la bière de Leffe fait partie de la variété spécifique des bières d'abbaye.;https://fr.wikipedia.org/wiki/Leffe_(bière)
5;fr;Laquelle de ces bières belges se boit dans un verre soutenu par un socle en bois ?;Kwak;Lupulus;Bacchus;Duvel;Débutant;La légende veut que le nom de la Kwak provienne du bruit que l'on entend quand on boit son verre spécifiquement conçu cul-sec.;https://fr.wikipedia.org/wiki/Kwak_(bière)
6;fr;Quel système de bouchon est utilisé sur les bouteilles de Quintine ?;Mécanique;À capsule;De liège;À visser;Débutant;La Quintine est une bière artisanale de style Belgian Strong Ale, caractérisée par son goût assez puissant et ses arômes diversifiés.;https://fr.wikipedia.org/wiki/Brasserie_Ellezelloise
7;fr;Quelle bière belge conserve son statut de référence au pays des blanches ?;Hoegaarden;Bacchus;Corsendonk;Floreffe;Débutant;Selon une certaine croyance populaire forte, la bière Hoegaarden est souvent citée comme étant la première des bières blanches.;https://fr.wikipedia.org/wiki/Hoegaarden_(bière)
8;fr;Quel intrus se cache parmi ces bières de Chimay, ni filtrées ni pasteurisées ?;Rosée;Blanche;Bleue;Rouge;Débutant;La Chimay incarne la tradition des bières trappistes, c'est-à-dire des bières brassées dans ou près d'une abbaye par des moines.;https://fr.wikipedia.org/wiki/Chimay_(bière)
9;fr;Laquelle de ces bières belges se présente dans une bouteille de forme ovale ?;Orval;Leffe;Bush;Kriek;Débutant;Brassée près de Florenville, l'Orval se caractérise par une amertume assez forte et gagne à mûrir en cave pendant quelques mois.;https://fr.wikipedia.org/wiki/Orval_(bière)
10;fr;Laquelle de ces bières belges, moins connue du grand public, est aromatisée au miel ?;Barbar;Ename;Caracole;Affligem;Débutant;La Barbar est considérée par de nombreux amateurs de bières comme étant le repos du guerrier, avec une légère touche de miel.;https://fr.wikipedia.org/wiki/Barbar
11;fr;La Gauloise est une bière belge dont la bouteille propose quelle contenance ?;33 cl;25 cl;50 cl;75 cl;Confirmé;Cette bière belge, à l'équilibre entre saveurs douces et amères, tire son nom et son image de l'héritage historique des Gaulois.;https://fr.wikipedia.org/wiki/Brasserie_du_Bocq
12;fr;Quel intrus se cache parmi ces bières de Rochefort, brassées en abbaye depuis 1595 ?;Rochefort 12;Rochefort 10;Rochefort 8;Rochefort 6;Confirmé;À Rochefort, la production annuelle est volontairement contrôlée pour respecter l'équilibre des activités religieuses des moines.;https://fr.wikipedia.org/wiki/Rochefort_(bière)
13;fr;Quel roi de Sardaigne possède, en Belgique, une bière blonde dorée ?;Charles Quint;Ferdinand Ier;Philippe II;Charles VI;Confirmé;Qu'il s'agisse de la version Golden, légère et fruitée, ou de la Cuvee, plus riche, elle représente l'excellence des bières belges.;https://fr.wikipedia.org/wiki/Haacht_(brasserie)
14;fr;Laquelle de ces villes de Belgique possède une cuvée de bière blonde ?;Ciney;Couvin;Verviers;Waremme;Confirmé;La brasserie de Ciney, dans la région de la province de Namur, a été fondée en 1956 sous le nom initial de Brasserie des Fagnes.;https://fr.wikipedia.org/wiki/Ciney_(bière)
15;fr;La Delirium Tremens présente sur sa bouteille une étiquette de quelle couleur ?;Bleue;Rouge;Verte;Jaune;Confirmé;En 1992, la Confrérie de l'Éléphant Rose a été créée pour promouvoir la Delirium Tremens et célébrer les autres bières de Melle.;https://fr.wikipedia.org/wiki/Delirium_Tremens_(bière)
16;fr;Laquelle de ces bières belges existe en version classique ainsi qu'en version biologique ?;Moinette;Chimay;Duvel;Barbar;Confirmé;La Moinette est une bière de fermentation haute, à la mousse abondante, à l'arôme malté et houblonné, et au goût amer.;https://fr.wikipedia.org/wiki/Brasserie_Dupont
17;fr;Quelle bière belge, produite dans la province du Hainaut, contient de la vitamine C ?;St Feuillien;Rochefort 10;Chimay;Orval;Confirmé;Les bières St-Feuillien sont souvent refermentées en bouteille pour développer davantage de saveurs et améliorer leur pérennité.;https://fr.wikipedia.org/wiki/St_Feuillien
18;fr;Quelle bière annoncée comme blanche a pourtant une couleur presque ambrée ?;Grimbergen;Westmalle;St. Bernardus;Vedett;Confirmé;L'abbaye de Grimbergen, fondée au XIIe siècle, a été le lieu d'origine de la bière, bien qu'elle ne soit plus réalisée par des moines.;https://fr.wikipedia.org/wiki/Grimbergen_(bière)
19;fr;Quelle bière belge désigne aussi une chanson interprétée par Lady Gaga ?;Judas;Jupiler;Jever;Jopen;Confirmé;Bien que relativement récente, la Judas a su se faire un nom dans les bars, en raison de sa qualité constante et de son goût distinctif.;https://fr.wikipedia.org/wiki/Alken-Maes
20;fr;Quelle bière belge est reconnaissable grâce à son lutin au bonnet rouge ?;La Chouffe;La Barbar;La Durboyse;La Maes;Confirmé;L'arôme très particulier de la Chouffe mélange à la fois des épices comme la coriandre, l'écorce d'orange, et aussi la pomme acide.;https://fr.wikipedia.org/wiki/Chouffe
21;fr;Quel type de bière de fermentation spontanée est produite au sud de Bruxelles ?;Lambic;Stout;Pils;Triple;Expert;La lambic est une bière plus ou moins acide selon son âge, sans pétillant ni mousse, titrant souvent entre cinq et six degrés d'alcool.;https://fr.wikipedia.org/wiki/Lambic
22;fr;Quelle brasserie belge produit la Brigand, bière ambrée à fermentation haute ?;Van Honsebrouck;Bosteels;Liefmans;Van Steenberge;Expert;Située à Ingelmunster, on brasse chez Van Honsebrouck les marques de bières Kasteel, St-Louis, Brigand et Bacchus.;https://fr.wikipedia.org/wiki/Brouwerij_Van_Honsebrouck
23;fr;Quelle bière belge présente un escargot étrange sur son étiquette ?;Caracole;Moinette;Rochefort;Gordon;Expert;Le nom Caracole vient de l'escargot, un symbole local qui reflète l'importance de la lenteur et de la patience dans le brassage.;https://fr.wikipedia.org/wiki/Brasserie_Caracole
24;fr;Quel animal blanc est utilisé comme logo de la bière Palm ?;Cheval;Lion;Ours;Éléphant;Expert;L'histoire de Palm commence en 1597 par la signature d'un acte de vente d'une ferme, ce qui explique le choix significatif du logo.;https://fr.wikipedia.org/wiki/Palm_Breweries
25;fr;Laquelle de ces propositions désigne une bière belge ambrée ?;Saison 1900;Saison 1800;Saison 1700;Saison 1600;Expert;La Saison 1900 rend hommage à une époque marquée par l'essor industriel et la popularisation des bières saison en Belgique.;https://fr.wikipedia.org/wiki/Brasserie_Lefebvre
26;fr;Laquelle de ces bières belges possède un label biologique ?;Blanche du Hainaut;Ciney;Zulte;Affligem;Expert;La Brasserie Dupont est une entreprise belge établie à Tourpes dans la commune de Leuze-en-Hainaut, au centre du Hainaut.;https://fr.wikipedia.org/wiki/Brasserie_Dupont
27;fr;La Troublette, brassée près de la ville de Dinant, est une bière de quelle couleur ?;Blanche;Ambrée;Brune;Noire;Expert;La Troublette fait partie des bières de blé de type wheat beer, au goût frais et léger, idéale à déguster lors des journées chaudes.;https://fr.wikipedia.org/wiki/Brasserie_Caracole
28;fr;Quelle bière belge est réputée comme étant une « bière vivante », selon le slogan ?;Bon Secours;Charles Quint;St Feuillien;Grimbergen;Expert;La gamme de bières Bon Secours est une gamme de bières artisanales belges de type bière d'abbaye, à fermentation haute.;https://fr.wikipedia.org/wiki/Bon_Secours_(bière)
29;fr;Laquelle de ces bières belges sort tout droit de la brasserie Roman ?;Ename;Caracole;Moinette;Rochefort;Expert;La brasserie Roman paie une redevance annuelle au musée de la ville d'Ename pour l'utilisation de l'appellation Abbaye d'Ename.;https://fr.wikipedia.org/wiki/Brasserie_Roman
30;fr;Quelle bière belge affiche un géant sur ses étiquettes ?;Gouyasse;Judas;Palm;Rochefort;Expert;La brasserie se visite en cinquante minutes et se termine par la dégustation d'une bonne bière au choix, parmi les bières brassées.;https://fr.wikipedia.org/wiki/Brasserie_des_Géants
1;en;Which Belgian beer is made by adding sour cherries to lambic ?;Kriek;Chimay;Leffe;Duvel;Débutant;In the past, some breweries produced krieks made from a mixture of lagers (or pils) and cherries.;https://en.wikipedia.org/wiki/Kriek lambic
2;en;Which of the following does not designate a color of Belgian beer ?;Red;Blonde;Amber;Black;Débutant;Beer is a drink obtained by fermentation of cereals, generally barley grains.;
3;en;Which Belgian beer, flagship product of the Dubuisson brewery, 12 % content ?;Bush;Sudden Death;Stella;Tongerlo;Débutant;Also called Bush 12, we can read on its label that it is the strongest beer in Belgium.;
4;en;What label appears on a bottle of Leffe, developed in many varieties ?;Abbey beer;Organic beer;Trappist;Swiss Made;Débutant;Named after a district of Dinant in the Meuse valley, Leffe beer is part of the variety of abbey beers.;
5;en;Which Belgian beer should be drunk in a glass supported by a wooden base ?;Kwak;Lupulus;Bacchus;Duvel;Débutant;Legend has it that the name of the Kwak comes from the noise you hear when you drink your glass dry.;
6;en;What capping system is used on Quintine bottles ?;Mechanics;Capsule;Of cork;To screw;Débutant;The Brasserie Ellezelloise produces several craft beers, including Quintine.;
7;en;Which Belgian beer retains its reference status in the land of white people ?;Hoegaarden;Bacchus;Corsendonk;Floreffe;Débutant;According to some popular belief, Hoegaarden beer is often cited as the first white beer.;
