1;fr;Bruxelles est la capitale de la Communauté française et flamande de quel pays ?;Belgique;Pays-Bas;Suisse;Luxembourg;Débutant;Surnommée la « Capitale de l'Europe », elle accueille le Parlement européen, la Commission européenne et d'autres institutions. ;https://fr.wikipedia.org/wiki/Bruxelles
2;fr;Laquelle des trois régions de Belgique la ville de Bruxelles compose-t-elle ?;Bruxelles-Capitale;Région wallonne;Région flamande;Limbourg;Débutant;La ville est une entité propre, formant à elle seule la Région de Bruxelles-Capitale, qui compte 19 communes, dont Anderlecht.;https://fr.wikipedia.org/wiki/Région_de_Bruxelles-Capitale
3;fr;À quel endroit du territoire belge est à peu près située la ville de Bruxelles ?;Centre;Sud;Nord;Ouest;Débutant;C'est à Bruxelles-Capitale que siègent la plupart des institutions de l'UE, ainsi que de nombreuses organisations internationales.;https://fr.wikipedia.org/wiki/Bruxelles
4;fr;Par quelle ceinture autoroutière la banlieue de Bruxelles est-elle délimitée ?;Ring;A17;A1;A601;Débutant;Un des premiers tronçons du Ring a été construit à la fin des années 1960 en tant que morceau de l'autoroute Bruxelles-Paris.;https://fr.wikipedia.org/wiki/Ring_de_Bruxelles
5;fr;Quel gratte-ciel situé à Bruxelles est le plus grand de Belgique ?;Tour du Midi;Tour Astro;Tour des Finances;Tour Rogier;Débutant;Haute de 150 m, la Tour du Midi, qu'il ne faut pas confondre avec la Tour des Finances, se trouve en face de la gare du Midi.;https://fr.wikipedia.org/wiki/Tour_du_Midi
6;fr;Quel bâtiment emblématique est le siège de la Commission européenne de Bruxelles ?;Berlaymont;Solvay;Castellani;Stoclet;Débutant;Le Berlaymont a failli être détruit lors des travaux de désamiantage, mais une rénovation longue et coûteuse a permis de le préserver.;https://fr.wikipedia.org/wiki/Bâtiment_Berlaymont
7;fr;Quelle est la principale langue parlée à Bruxelles, ville cosmopolite de Belgique ?;Français;Néerlandais;Allemand;Espagnol;Débutant;Le néerlandais reste langue officielle et est enseigné à l'école, mais dans les faits, seuls environ 10% des Bruxellois l'utilisent.;https://fr.wikipedia.org/wiki/Bruxelles
8;fr;Quelle est la principale université francophone de la capitale belge ?;ULB;UCL;ULG;USL;Débutant;Fondée en 1834, l'Université libre de Bruxelles est régulièrement citée comme faisant partie des 150 meilleures universités mondiales.;https://fr.wikipedia.org/wiki/Université_libre_de_Bruxelles
9;fr;Quel train, inspiré du TGV, assure la liaison entre Bruxelles, Paris et Amsterdam ?;Thalys;Eurostar;Elipsos;Iris;Débutant;Les rames du Thalys sont basées sur la technologie du TGV français mais adaptées aux différents réseaux électriques européens.;https://fr.wikipedia.org/wiki/Thalys
10;fr;En combien de communes la région de Bruxelles-Capitale est-elle divisée ?;19;22;25;28;Débutant;La ville de Bruxelles, la plus vaste d'entre elles, s'étend du centre au nord de l'agglomération et est entourée par les 18 autres.;https://fr.wikipedia.org/wiki/Région_de_Bruxelles-Capitale
11;fr;Quel est le climat de la région de Bruxelles comme de l'ensemble de la Belgique ?;Tempéré océanique;Tropical humide;Polaire;Subarctique;Confirmé;Ce climat est dû à la proximité de l'océan Atlantique et du Gulf Stream qui régule le temps grâce à l'inertie calorifique de ses eaux.;https://fr.wikipedia.org/wiki/Bruxelles
12;fr;Combien observe-t-on environ de jours de précipitations par an sur Bruxelles ?;200;150;100;50;Confirmé;En Belgique, les régions côtières sont généralement un peu plus sèches, tandis que les Ardennes sont encore bien plus arrosées.;https://fr.wikipedia.org/wiki/Bruxelles
13;fr;Quel quartier de Bruxelles renferme le Palais royal, le Palais de la Nation et la place Royale ?;Quartier des Palais;Marolles;Sablon;Midi-Lemonnier;Confirmé;En contrebas se situe la gare centrale et le Mont des Arts où se trouvent la Bibliothèque et la Cinémathèque royale de Belgique.;https://fr.wikipedia.org/wiki/Ville_de_Bruxelles
14;fr;Quel est le plus grand quartier d'affaires de Bruxelles et de Belgique ?;Léopold;Helmet;Saint-Job;Diamant;Confirmé;Aujourd'hui, les bâtiments administratifs ont remplacé la majorité des hôtels de maître et des maisons bourgeoises du quartier.;https://fr.wikipedia.org/wiki/Quartier_Léopold
15;fr;À Bruxelles, le bois de la Cambre est une extension de quelle grande forêt historique ?;Forêt de Soignes;Forêt de Chaux;Forêt de Retz;Forêt de Brotonne;Confirmé;Aujourd'hui, la forêt de Soignes est un espace protégé classé au patrimoine mondial de l'UNESCO pour ses hêtres remarquables.;https://fr.wikipedia.org/wiki/Forêt_de_Soignes
16;fr;Quelle est l'estimation du nombre d'étudiants dans la région de Bruxelles-Capitale ?;100 000;80 000;60 000;40 000;Confirmé;Bruxelles compte plus de 30 établissements d'enseignement supérieur : universités, écoles d'art et aux hautes écoles.;https://fr.wikipedia.org/wiki/Région_de_Bruxelles-Capitale
17;fr;Quel train, majoritairement détenu par la SNCF, relie Bruxelles à Londres ?;Eurostar;Thalys;Alleo;Vauban;Confirmé;Composée de dix-huit voitures et de deux motrices, chaque rame mesure 393 m de long et peut transporter jusqu'à 750 passagers.;https://fr.wikipedia.org/wiki/Eurostar
18;fr;Quel axe routier bruxellois comprend huit tunnels et plusieurs voies rapides ?;Petite ceinture;Grande boucle;Petit noeud;Grand ring;Confirmé;Faisant partie de la ceinture autoroutière, son nom fait référence à une ancienne ligne de chemin de fer qui ceinturait Bruxelles.;https://fr.wikipedia.org/wiki/Bruxelles
19;fr;Comment est couramment nommé l'aéroport de Bruxelles-National ?;Zaventem;Zandhoven;Zottegem;Zwevegem;Confirmé;Le nom Brussels Airport a été adopté en 2006 pour renforcer l'image internationale, le nom Aéroport de Zaventem restant très utilisé.;https://fr.wikipedia.org/wiki/Aéroport_de_Bruxelles
20;fr;Quelle est la troisième plus grande salle de concert de Bruxelles, en banlieue sud ?;Forest National;Le Botanique;Tour et Taxis;Cirque Royal;Confirmé;Située sur la commune bruxelloise de Forest, elle est inaugurée au début de 1971 par des représentations du Ballet du XXe siècle.;https://fr.wikipedia.org/wiki/Forest_National
21;fr;Combien d'habitants pouvait-on compter environ à Bruxelles au 1er janvier 2015 ?;177 000;197 000;157 000;137 000;Expert;À l'époque, un projet de création d'une zone dont la population et les limites devaient être définies avec précision était en cours.;https://fr.wikipedia.org/wiki/Bruxelles
22;fr;Comment est appelé le coeur historique et géographique de la ville de Bruxelles ?;Pentagone;Hexagone;Octogone;Dodécagone;Expert;Équivalent du City road londonien, le Pentagone est un endroit où la culture bruxelloise prend vie, avec ses commerçants et musées.;https://fr.wikipedia.org/wiki/Bruxelles
23;fr;Combien d'hectares d'espaces verts recouvrent la Région Bruxelles-Capitale ?;8 000;6 000;4 000;2 000;Expert;« Bruxelles, ville verte » développe davantage de zones de verdure, via des toitures végétalisées et des jardins communautaires.;https://fr.wikipedia.org/wiki/Région_de_Bruxelles-Capitale
24;fr;En quelle année la ville de Bruxelles a-t-elle fêté son millénaire officiel ?;1979;1959;1999;1939;Expert;Habitée dès l'Antiquité, c'est au Moyen Âge, à partir de 979, que la ville commença à prendre forme en tant que centre urbain majeur.;https://fr.wikipedia.org/wiki/Bruxelles
25;fr;Avec quelle autre ville Bruxelles compte-t-elle le plus de journalistes accrédités ?;Washington;Madrid;Dublin;Marseille;Expert;Washington a été créée à la suite de la signature du Residence Act en 1790, qui prévoyait la création d'une capitale fédérale.;https://fr.wikipedia.org/wiki/Bruxelles
26;fr;Quel édifice bruxellois est considéré comme référence de l'architecture éclectique ?;Palais de Justice;Villa Empain;Maison Horta;Café Métropole;Expert;Avec sa façade, ses colonnes et son dôme majestueux, le Palais de Justice est l'un des plus grands bâtiments judiciaires au monde.;https://fr.wikipedia.org/wiki/Palais_de_justice_de_Bruxelles
27;fr;Quel style architectural bruxellois est l'oeuvre de Victor Horta et Henry Van de Velde ?;Art nouveau;Art déco;Art moderne;Art baroque;Expert;Avant la Première Guerre mondiale, ce mouvement évolua vers un style plus géométrique, caractéristique du mouvement Art déco.;https://fr.wikipedia.org/wiki/Art_nouveau
28;fr;À combien de kilomètres s'étend le réseau d'égouts de la ville de Bruxelles ?;1 500;2 000;2 500;3 000;Expert;Il fait l'objet d'un plan d'assainissement et même de renouvellement des parties les plus anciennes remontant à plus d'un siècle.;https://fr.wikipedia.org/wiki/Bruxelles
29;fr;Quel théâtre bruxellois est très caractéristique de l'architecture des années 1960 ?;Théâtre 140;Théâtre Mercelis;Théâtre Varia;Théâtre du Méridien;Expert;Il se distingue par sa programmation originale et son rôle de laboratoire pour des oeuvres contemporaines et expérimentales.;https://fr.wikipedia.org/wiki/Théâtre_140
30;fr;Quel célèbre musée bruxellois est logé dans l'Hôtel du Lotto ?;Musée Magritte;Musée du jouet;Musée du cinéma;Musée BELvue;Expert;Au cours des siècles, les propriétaires se sont succédés pour transformer le bâtiment en hôtel, en bijouterie et enfin en musée.;https://fr.wikipedia.org/wiki/Musée_Magritte
1;en;Brussels is the capital of the French and Flemish Community of which country ?;Belgium;Netherlands;Switzerland;Germany;Débutant;Made up of 19 municipalities, Bruxelles-Capitale is an urban region with its own government and parliament.;
2;en;Which of the three regions of Belgium does the city of Brussels make up ?;Brussels-Capital;Walloon region;Flemish region;Limburg;Débutant;If we compare it to most of the regions of Europe, Brussels-capital has a relatively small area.;
3;en;Where in Belgium is the city of Brussels located roughly ?;Center;South;North;West;Débutant;Most of the EU institutions, as well as many international organizations, sit in Brussels-Capital.;
4;en;By what motorway belt is the suburb of Brussels delimited ?;Ring;A17;A1;A601;Débutant;One of the first sections of the Ring was built in the late 1960s as a part of the Brussels-Paris motorway.;https://en.wikipedia.org/wiki/Brussels_Ring
5;en;Which skyscraper in Brussels is the tallest in Belgium ?;Tour du Midi;Astro Tower;Finance Tower;Rogier Tower;Débutant;150 m high, the Tour du Midi, which should not be confused with the Tour des Finances, is located opposite the Gare du Midi.;https://en.wikipedia.org/wiki/Tour_du_Midi
6;en;Which building is the headquarters of the European Commission in Brussels ?;Berlaymont;Solvay;Castellani;Stoclet;Débutant;The Berlaymont building also houses the services attached to the offices of the president and commissioners.;
7;en;What is the main language spoken in Brussels, the capital of Belgium ?;French;Dutch;German;Spanish;Débutant;However, the use of English in the Brussels-Capital region and its periphery is a growing phenomenon.;
8;en;What is the most important French-speaking university in Brussels ?;ULB;UCL;ULG;USL;Débutant;Founded in 1834, ULB is regularly cited as one of the top 150 universities in the world.;
9;en;Which train, inspired by the TGV, connects Brussels to Paris, Amsterdam and Cologne ?;Thalys;Eurostar;Elipsos;Iris;Débutant;Thalys trains coexist with Eurostar trainsets, TGV Réseau or Sud-Est trainsets and ICE trainsets.;https://en.wikipedia.org/wiki/Thalys
10;en;How many municipalities is the Brussels-Capital Region divided into ?;19;22;25;28;Débutant;The city of Brussels, the largest of them, stretches from the center to the north of the agglomeration and is surrounded by the other 18.;
11;en;What is the climate like in the Brussels region and in all of Belgium ?;Temperate oceanic;Tropical wet;Fleece;Subarctic;Confirmé;This climate is due to the proximity of the Atlantic Ocean and the Gulf Stream which regulates the weather thanks to the calorific inertia of its waters.;
12;en;About how many days of precipitation per year are there in Brussels ?;200;150;100;50;Confirmé;These rainfall statistics make it, after Dublin, the rainiest capital in Europe (in number of days).;
13;en;Which district of Brussels contains the Royal Palace, the Palais de la Nation and the Place Royale ?;Palace district;Marolles;Sablon;Midi-Lemonnier;Confirmé;Below is the central station and the Mont des Arts where the Library and the Royal Belgian Cinematheque are located.;https://en.wikipedia.org/wiki/City_of_Brussels
14;en;What is the largest business district in Brussels and Belgium ?;Leopold;Helmet;Saint-Job;Diamond;Confirmé;Today, the administrative buildings have replaced the majority of the mansions and bourgeois houses of the district.;
15;en;In Brussels, which forest does the Bois de la Cambre extend ?;Sonian Forest;Lime Forest;Forest of Retz;Forest of Brotonne;Confirmé;The Forêt de Soignes is connected with the Bois de la Cambre, a forest and country walk that enters the town.;
16;en;How many people is the student population of Brussels-Capital estimated ?;50,000;40,000;30,000;20,000;Confirmé;The Brussels school population recorded a total of 231,567 pupils for the 2010/2011 school year.;
17;en;Which train, mainly owned by SNCF, connects Brussels to London ?;Eurostar;Thalys;Alleo;Vauban;Confirmé;Composed of eighteen cars and two motor coaches, each train is 393 m long and can carry up to 750 passengers.;https://en.wikipedia.org/wiki/Eurostar
18;en;Which Brussels road axis includes a series of eight tunnels and expressways ?;Small belt;Big loop;Small knot;Large ring;Confirmé;The city center, called the “Pentagon”, is delimited by a belt of boulevards, equivalent to the Parisian boulevards.;
