1;fr;Dans quelle ville peut-on admirer le très touristique pont des Soupirs ?;Venise;Valence;Versailles;Vérone;Débutant;Le pont des Soupirs, suggérant le soupir des prisonniers, est l'un des lieux touristiques les plus célèbres de la ville de Venise.;https://fr.wikipedia.org/wiki/Pont_des_Soupirs
2;fr;Dans quelle ville américaine se dresse le Golden Gate Bridge ?;San Francisco;Los Angeles;San Diego;New York;Débutant;Le « Golden Gate Bridge » a été jusqu'en 1964 le pont suspendu le plus long du monde.;https://fr.wikipedia.org/wiki/Golden_Gate_Bridge
3;fr;Quelle rivière aux crues redoutables est enjambée par le pont du Gard ?;Gardon;Bièvre;Garonne;Rhône;Débutant;Le pont du Gard est un pont-aqueduc romain à trois niveaux, situé à Vers-Pont-du-Gard entre Uzès et Nîmes, qui enjambe le Gardon.;https://fr.wikipedia.org/wiki/Pont_du_Gard
4;fr;Quel grand pont français est proche du pont de Normandie ?;Pont de Tancarville;Pont Mathilde;Pont de Gaillon;Pont de Rangiport;Débutant;Le pont de Tancarville a été un temps le pont le plus proche de l'estuaire.;https://fr.wikipedia.org/wiki/Pont_de_Tancarville
5;fr;Quel pont basculant construit sur la Tamise se situe près de la tour de Londres ?;Tower Bridge;Waterloo Bridge;Westminster Bridge;Chelsea Bridge;Débutant;Au moment de sa construction, il était le plus grand pont basculant jamais construit.;https://fr.wikipedia.org/wiki/Tower_Bridge
6;fr;Quel pont routier à haubans enjambe l'estuaire de la Seine près de Honfleur ?;Normandie;Tancarville;Brotonne;Rouen;Débutant;En 1994, la portée principale de l'ouvrage bat de plus de 250 m le précédent record du monde (1993).;https://fr.wikipedia.org/wiki/Pont_de_Normandie
7;fr;Quel est, malgré son nom, le plus ancien pont de Paris ?;Pont Neuf;Pont du Diable;Pont Marie;Pont du Roi;Débutant;Toujours intact, le pont Neuf est classé monument historique depuis 1889.;https://fr.wikipedia.org/wiki/Pont_Neuf
8;fr;Selon Guillaume Apollinaire, sous quel pont coule la Seine ?;Mirabeau;Marie;Neuf;Royal;Débutant;« Le pont Mirabeau » est un poème d'Apollinaire paru dans le recueil « Alcools ».;https://fr.wikipedia.org/wiki/Pont_Mirabeau
9;fr;Depuis 1959, quel pont suspendu de 1 410 mètres peut-on emprunter vers Le Havre ?;Tancarville;Neuilly;Brotonne;Poissy;Débutant;Jusqu'à l'ouverture du pont de Normandie, il a été le pont le plus proche de l'estuaire.;https://fr.wikipedia.org/wiki/Pont_de_Tancarville
10;fr;Quel pont à haubans traverse la vallée du Tarn en France ?;Viaduc de Millau;Viaduc de Garabit;Viaduc de Jaulny;Viaduc de Caroual;Débutant;Portant l'autoroute A75, le e viaduc de Millau fait la jonction entre le Causse Rouge et le Causse du Larzac.;https://fr.wikipedia.org/wiki/Viaduc_de_Millau
11;fr;Quel roi a inauguré le Pont Neuf, le plus ancien pont existant de Paris ?;Henri IV;Charles X;Louis XIV;Jean II;Confirmé;Le Pont Neuf fait l'objet d'un classement au titre des monuments historiques depuis 1889.;https://fr.wikipedia.org/wiki/Pont_Neuf
12;fr;Quel pont à la structure en béton de 2 142 mètres de long relie Le Havre à Honfleur ?;Pont de Normandie;Viaduc de Gien;Viaduc de Millau;Pont du Morbihan;Confirmé;Conçu pour laisser le passage aux navires qui remontent la Seine, ce pont est à péage, sauf pour les piétons, cyclistes, motocyclistes.;https://fr.wikipedia.org/wiki/Pont_de_Normandie
13;fr;Dans quelle grande ville se trouve le pont de Queensboro ?;New York;Melbourne;Miami;Londres;Confirmé;À sa construction, le pont de Queensboro était le plus long pont cantilever des États-Unis.;https://fr.wikipedia.org/wiki/Pont_de_Queensboro
14;fr;Quel pont de Montréal, enjambant le fleuve Saint-Laurent, a été inauguré en mai 1930 ?;Jacques-Cartier;Mercier;Victoria;Champlain;Confirmé;Environ 35 millions de véhicules empruntent chaque année le pont Jacques-Cartier ouvert à la circulation le 14 mai 1930.;https://fr.wikipedia.org/wiki/Pont_Jacques-Cartier
15;fr;Quelle est la hauteur du pont du Gard, cessé d'être utilisé au début du VIe siècle ?;Environ 49 mètres;Environ 39 mètres;Environ 59 mètres;Environ 69 mètres;Confirmé;Le pont du Gard est un pont-aqueduc à trois niveaux qui assurait la continuité de l'aqueduc romain qui conduisait l'eau d'Uzès à Nîmes.;https://fr.wikipedia.org/wiki/Pont_du_Gard
16;fr;Le pont de Westminster est un pont de fer constitué de combien d'arches ?;Sept;Six;Huit;Neuf;Confirmé;Le pont actuel est le second sur cet emplacement et a remplacé un pont qui avait tendance à se balancer de façon alarmante.;https://fr.wikipedia.org/wiki/Westminster_Bridge
17;fr;À quel pays la République de Singapour est-elle reliée par des ponts ?;Malaisie;Chine;Indonésie;Thaïlande;Confirmé;Singapour est connue dans le monde entier et souvent montrée en exemple pour son extraordinaire réussite économique.;https://fr.wikipedia.org/wiki/Singapour
18;fr;À Venise, quel célèbre pont relie le palais des Doges aux prisons ?;Le pont des Soupirs;Le pont des Lagunes;Le pont du Rialto;Le pont de la Liberté;Confirmé;Le nom du pont suggère le soupir exprimé par les prisonniers conduits devant les juges.;https://fr.wikipedia.org/wiki/Pont_des_Soupirs
19;fr;Dans quelle ville le pont Vasco da Gama a-t-il été construit ?;Lisbonne;Turin;Barcelone;Madrid;Confirmé;La longueur hors-tout de plus de 17 km du pont Vasco da Gama en fait le plus grand d'Europe.;https://fr.wikipedia.org/wiki/Pont_Vasco_da_Gama
20;fr;Combien compte-t-on de ponts à Amsterdam, capitale du royaume des Pays-Bas ?;Environ 400;Environ 200;Environ 600;Environ 800;Confirmé;Amsterdam est la plus grande ville de la province de Hollande septentrionale et l'un des principaux centres financiers d'Europe.;https://fr.wikipedia.org/wiki/Amsterdam
21;fr;Quelle ville italienne abrite le pont du Rialto, l'un des monuments les plus visités de la cité ?;Venise;Florence;Turin;Naples;Expert;Le pont du Rialto est le plus ancien et certainement le plus célèbre des quatre ponts qui traversent le Grand Canal de Venise.;https://fr.wikipedia.org/wiki/Pont_du_Rialto
22;fr;Quel est le plus haut pont suspendu du monde, d'une longueur totale de 3 911 mètres ?;Akashi-Kaikyo;Golden Gate;Grand Belt;Rialto;Expert;Ce pont est le dernier élément d'un réseau qui relie les quatre îles principales du Japon : Honshu, Hokkaido, Kyushu et Shikoku.;https://fr.wikipedia.org/wiki/Pont_du_détroit_d'Akashi
23;fr;Quel fleuve est traversé par le Pont des « Filles de Jacob », construit sur un site stratégique ?;Le Jourdain;Le Nil;Le Tibre;Le Gange;Expert;Le site du pont des Filles de Jacob était le dernier gué au sud de la vallée de la Houla avant le passage du Jourdain.;https://fr.wikipedia.org/wiki/Pont_des_Filles_de_Jacob
24;fr;Quel célèbre pont en arc métallique est situé dans la baie de Sydney ?;Le Harbour Bridge;Le Britannia Bridge;Le Pulteney Bridge;Le Mackinac Bridge;Expert;Le Harbour Bridge est le principal point de traversée de la baie de Sydney.;https://fr.wikipedia.org/wiki/Harbour_Bridge
25;fr;Dans quelle ville se trouve le plus long pont-canal de France ?;Agen;Albi;Avignon;Arles;Expert;Un pont-canal permet le passage de la navigation au-dessus d'une rivière, d'une route, d'une voie ferrée.;https://fr.wikipedia.org/wiki/Pont-canal
26;fr;Quel pont du réseau routier permet de relier la ville de Venise à la terre ferme ?;Pont de la Liberté;Pont des Lagunes;Pont du Rialto;Pont des Soupirs;Expert;Le pont fut rebaptisé ainsi en l'honneur de la libération contre les nazis et les fascistes.;https://fr.wikipedia.org/wiki/Pont_de_la_Liberté_(Venise)
27;fr;Dans quel pays le pont de Tatara, long de 1 480 m, a-t-il été construit ?;Le Japon;Le Brésil;La Roumanie;La Grèce;Expert;Le pont a détenu le record de portée pour les ponts à haubans de 1999 à 2008.;https://fr.wikipedia.org/wiki/Pont_de_Tatara
28;fr;Quelle est la longueur du pont maritime de Donghai, en Chine ?;32 500 m;41 800 m;12 200 m;21 400 m;Expert;Le pont de Donghai ou Grand pont de la mer orientale était en 2005 le plus long pont maritime du monde.;https://fr.wikipedia.org/wiki/Pont_de_Donghai
29;fr;Dans quelle ville se trouve le Bac de Roda, premier pont conçu par Santiago Calatrava ?;Barcelone;Lisbonne;Milan;Bilbao;Expert;Ce pont assure la liaison entre les districts de Sant Andreu et Sant Marti à Barcelone, dans la communauté autonome de Catalogne.;https://fr.wikipedia.org/wiki/Pont_Bac_de_Roda
30;fr;Dans quelle ville peut-on contempler le pont Charles, incontournable pour les touristes ?;Prague;Agra;Bombay;Berlin;Expert;Envahi de musiciens, d'artistes divers, de bonimenteurs et de camelots, son nom fait référence au roi Charles IV.;https://fr.wikipedia.org/wiki/Pont_Charles
