1;fr;Quelle vierge et martyre est à la base de la fête de la Sainte-Catherine ?;Cath. d'Alexandrie;Cath. de Saxe;Cath. de Valois;Cath. de Laval;Débutant;Dans le nord de la France, les petites écolières s'offrent des cartes de voeux pour la Sainte-Catherine.;https://fr.wikipedia.org/wiki/Fête_de_la_Sainte-Catherine
2;fr;Quelle célèbre Catherine est la fille de l'actrice Simone Signoret ?;Catherine Allégret;Catherine Ceylac;Catherine Deneuve;Catherine Arditi;Débutant;Catherine Allégret épousera en 1969 Jean-Pierre Castaldi avec qui elle aura un fils, Benjamin, animateur de télévision.;https://fr.wikipedia.org/wiki/Catherine_Allégret
3;fr;Qui a fait entrer Éric Zemmour et Éric Naulleau dans « On n'est pas couché » ?;Catherine Barma;Catherine Breillat;Catherine Langeais;Catherine Asaro;Débutant;Elle débute à la télévision comme scripte, puis productrice artistique qui la fera créer en 1999 la société Tout sur l'écran.;https://fr.wikipedia.org/wiki/Catherine_Barma
4;fr;Qui a présenté « Télématin » puis « Thé ou café » de 1996 à 2018 ?;Catherine Ceylac;Catherine Laborde;Catherine Allégret;Catherine Benguigui;Débutant;Compagne du journaliste Claude Sérillon depuis 1984, elle a un fils, Jean-Philippe Oudot, né en 1973 d'un premier mariage.;https://fr.wikipedia.org/wiki/Catherine_Ceylac
5;fr;Quelle actrice a reçu un César pour « Le Dernier Métro » et « Indochine » ?;Catherine Deneuve;Catherine Zeta-Jones;Catherine Frot;Catherine Jacob;Débutant;Elle a aussi remporté un prix d'interprétation dans les trois plus grands festivals de cinéma : Cannes, Venise et Berlin.;https://fr.wikipedia.org/wiki/Catherine_Deneuve
6;fr;Qui a présenté le bulletin météorologique sur TF1 pendant vingt-huit ans ?;Catherine Laborde;Catherine Tramell;Catherine Allégret;Catherine Hiegel;Débutant;En octobre 2018, Catherine Laborde, mère de deux filles, a révélé être atteinte de la maladie de Parkinson depuis quatre ans.;https://fr.wikipedia.org/wiki/Catherine_Laborde
7;fr;Qui est la rockeuse de diamant, imposant un look audacieux et libéré ?;Catherine Lara;Catherine Ringer;Catherine Lachens;Catherine Nay;Débutant;Catherine Lara a été faite chevalier de l'Ordre des Arts et des Lettres puis Officier de l'Ordre national de la Légion d'honneur.;https://fr.wikipedia.org/wiki/Catherine_Lara
8;fr;Quelle roturière est l'épouse du prince William, duc de Cambridge ?;Catherine Middleton;Catherine Ceylac;Catherine Kintzler;Catherine Tramell;Débutant;Depuis ce jour, Catherine Middleton porte le titre de duchesse de Cambridge avec le prédicat d'altesse royale.;https://fr.wikipedia.org/wiki/Catherine_Middleton
9;fr;Quelle chanteuse a formé avec Fred Chichin le groupe Les Rita Mitsouko ?;Catherine Ringer;Catherine Lara;Catherine Hosmalin;Catherine Dufour;Débutant;Parallèlement, Catherine Ringer a aussi chanté en duo avec Marc Lavoine ou pour des bandes-originales de films.;https://fr.wikipedia.org/wiki/Catherine_Ringer
10;fr;Quelle actrice est devenue mondialement connue dans « Le Masque de Zorro » ?;Catherine Zeta-Jones;Catherine Jacob;Catherine Arditi;Catherine Deneuve;Débutant;En 2011, Catherine Zeta-Jones a déclarée être atteinte de maniaco-dépression, également appelée trouble bipolaire.;https://fr.wikipedia.org/wiki/Catherine_Zeta-Jones
11;fr;Quelle Catherine de fiction a été interprétée par l'actrice américaine Sharon Stone ?;Catherine Tramell;Catherine Asaro;Catherine Trautmann;Catherine Nay;Confirmé;Catherine Tramell est un personnage de fiction créé par Joe Eszterhas dans le film « Basic Instinct » de Paul Verhoeven en 1992.;https://fr.wikipedia.org/wiki/Catherine_Tramell
12;fr;Quelle actrice française est la soeur de Françoise Dorléac ?;Catherine Deneuve;Catherine Arditi;Catherine Jacob;Catherine Frot;Confirmé;Catherine Deneuve a été l'égérie de réalisateurs majeurs comme Jacques Demy, François Truffaut ou André Téchiné.;https://fr.wikipedia.org/wiki/Catherine_Deneuve
13;fr;Qui a joué au théâtre un personnage inspiré de Liliane Bettencourt ?;Catherine Arditi;Catherine Benguigui;Catherine Langeais;Catherine Jacob;Confirmé;Catherine Arditi est la fille du peintre Georges Arditi et la soeur des comédiens Pierre Arditi, Danièle Arditi et Rachel Arditi.;https://fr.wikipedia.org/wiki/Catherine_Arditi
14;fr;Qui a incarné le médecin à lunettes de la série humoristique « H » ?;Catherine Benguigui;Catherine Ceylac;Catherine Frot;Catherine Hiegel;Confirmé;Catherine Benguigui a participé à deux épisodes de la série Caméra Café sur M6 : « Marylin et Madonna » et « La nièce d'Annie ».;https://fr.wikipedia.org/wiki/Catherine_Benguigui
15;fr;Quelle cinéaste a été victime d'escroquerie de la part de Christophe Rocancourt ?;Catherine Breillat;Catherine Hosmalin;Catherine Lachens;Catherine Langeais;Confirmé;Profitant de son handicap et de sa faiblesse, Rocancourt lui aurait soutiré des chèques pour plus de 850 000 euros.;https://fr.wikipedia.org/wiki/Catherine_Breillat
16;fr;Quelle duchesse est devenue reine de France de 1547 à 1559 ?;Catherine de Médicis;Catherine d'Anjou;Catherine de Bavière;Catherine de Navarre;Confirmé;Elle est également le mère des rois François II, Charles IX, Henri III, des reines Élisabeth et de la reine Margot.;https://fr.wikipedia.org/wiki/Catherine_de_Médicis
17;fr;Qui fut remarquée pour son rôle de cantatrice qui chante faux dans « Marguerite » ?;Catherine Frot;Catherine Jacob;Catherine Deneuve;Catherine Lachens;Confirmé;Après six précédentes nominations dans cette catégorie majeure, elle remporte pour ce rôle le César de la meilleure actrice.;https://fr.wikipedia.org/wiki/Catherine_Frot
18;fr;Qui a reçu le César du meilleur espoir féminin pour « La Vie est un long fleuve tranquille » ?;Catherine Jacob;Catherine Frot;Catherine Nay;Catherine Deneuve;Confirmé;Elle a ensuite été nommée trois fois aux César pour « Tatie Danielle » en 1991, « Merci la vie » en 1992 et « Neuf mois » en 1995.;https://fr.wikipedia.org/wiki/Catherine_Jacob
19;fr;Quelle journaliste française et peintre à ses heures signe ses toiles CathMath ?;Catherine Matausch;Catherine Trautmann;Catherine Dufour;Catherine Coquio;Confirmé;En avril 1987, Catherine Matausch a rejoint la rédaction nationale de FR3 comme présentatrice du journal télévisé.;https://fr.wikipedia.org/wiki/Catherine_Matausch
20;fr;Qui a publié le roman « L'Homme facile », interdit aux moins de 18 ans ?;Catherine Breillat;Catherine Hiegel;Catherine Benguigui;Catherine Laborde;Confirmé;La cinéaste a révélé en juillet 2009 avoir été la victime d'une escroquerie de la part de Christophe Rocancourt.;https://fr.wikipedia.org/wiki/Catherine_Breillat
